Data 20,10
Data 045,045,045,045,045,045,045,045,045,052,045,045,045,045,053,045,045,045,045,045
Data 045,055,045,053,045,045,045,045,045,045,045,045,045,045,045,045,045,045,045,045
Data 053,045,045,045,045,052,045,045,045,045,045,053,045,045,045,041,042,045,052,045
Data 045,045,045,045,045,045,052,053,045,045,045,045,054,045,045,043,044,045,045,053
Data 045,048,049,045,045,045,045,045,045,045,045,045,045,045,045,045,045,045,045,045
Data 045,050,051,045,045,045,054,045,045,045,052,045,045,045,045,045,045,045,054,045
Data 045,045,045,045,045,045,045,045,045,045,045,045,055,045,045,045,052,045,045,045
Data 045,052,045,054,045,045,045,045,045,045,045,045,045,045,045,045,054,045,045,045
Data 046,046,046,046,046,046,046,046,046,046,046,046,046,046,046,046,046,046,046,046
Data 047,047,047,047,047,047,047,047,047,047,047,047,047,047,047,047,047,047,047,047
